SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1282.55,1298.40,1275.30,1286.60,1286.60,1279.20,344,2429,3122487.00,
500003,AEGIS LOGIS ,A ,Q,263.00,263.85,255.00,258.85,259.30,261.75,269,9557,2479741.00,
500008,AMAR RAJA BA,A ,Q,790.60,805.00,786.45,797.50,797.50,794.55,468,11725,9367847.00,
500009,A.SARABHAI  ,X ,Q,10.70,10.72,10.31,10.64,10.72,10.29,32,12676,133433.00,
500010,HDFC        ,A ,Q,1825.00,1831.40,1812.95,1824.40,1827.00,1821.95,1334,67435,122894407.00,
500012,ANDHRA PETRO,X ,Q,53.00,57.50,52.30,57.40,57.40,54.80,460,144692,8122864.00,
500013,ANSAL INFRAS,B ,Q,19.35,20.25,19.30,19.45,19.40,19.90,111,21469,420639.00,
500014,APPLE FINANC,XT,Q,2.54,2.65,2.42,2.65,2.65,2.54,20,4202,10443.00,
500016,ARUNA HOTEL ,XT,Q,12.50,13.12,12.50,13.12,13.12,5.00,3,400,5186.00,
500020,BOM DYEING  ,A ,Q,240.90,245.65,236.65,239.35,239.35,242.20,4366,710134,170605312.00,
500023,ASIANHOTNR  ,T ,Q,290.10,303.00,290.05,302.00,302.00,301.60,6,515,154492.00,
500024,ASSAMCO     ,B ,Q,4.30,4.30,4.05,4.15,4.15,4.16,44,66027,270674.00,
500027,ATUL LTD.   ,A ,Q,2661.95,2661.95,2610.00,2622.00,2622.00,2668.40,62,366,960674.00,
500028,ATV PROJECTS,XT,Q,9.00,9.80,8.93,9.64,9.64,9.35,45,6470,59199.00,
500029,AUTOLITE(I) ,B ,Q,61.00,63.25,61.00,62.10,62.90,63.25,30,13557,837931.00,
500031,BAJAJ ELECT.,A ,Q,570.90,572.95,554.40,561.75,563.00,573.95,680,29195,16489295.00,
500032,BAJAJHIND   ,A ,Q,8.95,9.04,8.80,8.83,8.83,9.00,476,536280,4773245.00,
500033,FORCE MOTR  ,B ,Q,2745.00,2765.00,2730.00,2733.00,2733.00,2757.90,2337,22043,60489027.00,
500034,BAJFINANCE  ,A ,Q,1772.00,1790.00,1762.00,1769.75,1762.00,1771.10,2212,37890,67452091.00,
500038,BALRAM.CHINI,A ,Q,80.00,80.00,74.70,75.40,75.40,81.25,10958,2410105,186088392.00,
500039,BANCO PROD. ,B ,Q,213.60,213.60,210.95,211.75,212.00,213.45,68,5233,1108605.00,
500040,CENTURY TEXT,A ,Q,1143.55,1154.20,1128.50,1145.25,1145.25,1154.45,810,22049,25181230.00,
500041,BANNARI AMAN,B ,Q,1725.00,1725.00,1725.00,1725.00,1725.00,1680.00,3,16,27600.00,
500042,BASF INDIA  ,B ,Q,1956.95,1962.70,1893.30,1908.50,1908.50,1954.10,138,1081,2071920.00,
500043,BATA INDIA  ,A ,Q,736.00,754.50,726.10,730.00,728.00,739.35,1208,44375,32846020.00,
500048,BEML LTD    ,A ,Q,1050.00,1057.45,1038.00,1044.15,1044.15,1063.25,1097,29005,30377915.00,
500049,BHARAT ELECT,A ,Q,142.70,145.75,140.75,142.05,142.05,143.10,3338,780226,110903238.00,
500052,BHANSALI ENG,B ,Q,170.00,173.45,169.00,170.35,170.35,167.75,1163,152813,26127085.00,
500055,BHUSH STEEL ,B ,Q,40.90,41.10,40.00,40.30,40.30,41.80,1399,381971,15422830.00,
500058,BIHAR SPONGE,XT,Q,1.99,1.99,1.81,1.81,1.81,1.90,8,2772,5226.00,
